"ID","timepoint","treatment","location","date","pH","gwc","mg_kg_NO3N"
"201",1,"maize monoculture","Rubona","9/17/20",5.16,"0.09470124",12.2665788027432
"202",1,"Napier grass","Rubona","9/17/20",5.99,"0.08649789",22.218494114115
"203",1,"Brachiaria cv. Mulato II","Rubona","9/17/20",5.65,"0.064444444",13.9152115544165
"204",1,"Desmodium distortum","Rubona","9/17/20",5.61,"0.062358277",14.5155426976442
"205",1,"Maize + Desmodium","Rubona","9/17/20",5.39,"0.079915878",25.1942005437336
"206",1,"Napier + Desmodium","Rubona","9/17/20",5.29,"0.067907996",10.1141059607289
"207",1,"Brachiaria + Desmodium","Rubona","9/17/20",5.51,"0.016632017",10.8631719681704
"208",1,"maize monoculture","Rubona","9/17/20",5.45,"0.082539683",24.8317394037286
"209",1,"Napier grass","Rubona","9/17/20",5.65,"0.065843621",10.557255493101
"210",1,"Brachiaria cv. Mulato II","Rubona","9/17/20",5.55,"0.066027689",13.0489676609253
"211",1,"Desmodium distortum","Rubona","9/17/20",5.31,"0.107608696",26.670566393038
"212",1,"Maize + Desmodium","Rubona","9/17/20",5.44,"0.049009385",31.1781067734946
"213",1,"Napier + Desmodium","Rubona","9/17/20",5.6,"0.063526835",25.5871458709338
"214",1,"Brachiaria + Desmodium","Rubona","9/17/20",5.44,"0.067836257",19.3276203473985
"215",1,"maize monoculture","Rubona","9/17/20",5.33,"0.065005417",17.9291029300008
"216",1,"Napier grass","Rubona","9/17/20",5.34,"0.072247706",14.3830497333946
"217",1,"Brachiaria cv. Mulato II","Rubona","9/17/20",5.74,"0.057173679",13.3873196592285
"218",1,"Desmodium distortum","Rubona","9/17/20",5.34,"0.050646552",22.3424804798549
"219",1,"Maize + Desmodium","Rubona","9/17/20",5.39,"0.042769857",27.1783465032024
"220",1,"Napier + Desmodium","Rubona","9/17/20",5.42,"0.058091286",14.1707348095219
"221",1,"Brachiaria + Desmodium","Rubona","9/17/20",5.54,"0.056768559",17.9385284253897
"222",1,"maize monoculture","Rubona","9/17/20",5.05,"0.081984898",31.4049095841078
"223",1,"Napier grass","Rubona","9/17/20",5.29,"0.064230343",15.921212098841
"224",1,"Brachiaria cv. Mulato II","Rubona","9/17/20",5.35,"0.070981211",25.2111481960633
"225",1,"Desmodium distortum","Rubona","9/17/20",5.22,"0.055201699",18.2257787283976
"226",1,"Maize + Desmodium","Rubona","9/17/20",5.21,"0.061728395",26.8310180123577
"227",1,"Napier + Desmodium","Rubona","9/17/20",5.26,"0.061336254",13.2488094487544
"228",1,"Brachiaria + Desmodium","Rubona","9/17/20",5.78,"0.057411273",12.2154349469589
"229",1,"maize monoculture","Karama","9/16/20",5.88,"0.098698482",21.1911928857208
"230",1,"Napier grass","Karama","9/16/20",5.99,"0.137323944",18.3768885103428
"231",1,"Brachiaria cv. Mulato II","Karama","9/16/20",6.06,"0.135573581",15.7108200143696
"232",1,"Desmodium distortum","Karama","9/16/20",6.13,"0.114903299",16.3896647668946
"233",1,"Maize + Desmodium","Karama","9/16/20",6.16,"0.055859803",13.585083707793
"234",1,"Napier + Desmodium","Karama","9/16/20",6.34,"0.123699422",14.9242403521457
"235",1,"Brachiaria + Desmodium","Karama","9/16/20",6.09,"0.114842904",15.382769813962
"236",1,"maize monoculture","Karama","9/16/20",5.85,"0.123348018",25.7313540188002
"237",1,"Napier grass","Karama","9/16/20",6.77,"0.142517815",8.31315464430261
"238",1,"Brachiaria cv. Mulato II","Karama","9/16/20",6.45,"0.136522754",18.0328562845821
"239",1,"Desmodium distortum","Karama","9/16/20",6.21,"0.122706422",15.6050960493708
"240",1,"Maize + Desmodium","Karama","9/16/20",5.96,"0.132094943",0.318637695295097
"241",1,"Napier + Desmodium","Karama","9/16/20",6.25,"0.14893617",14.914766688218
"242",1,"Brachiaria + Desmodium","Karama","9/16/20",5.93,"0.133182844",24.6218293327771
"243",1,"maize monoculture","Karama","9/16/20",6.22,"0.116438356",21.3738211293997
"244",1,"Napier grass","Karama","9/16/20",6.15,"0.15235792",20.2014272853038
"245",1,"Brachiaria cv. Mulato II","Karama","9/16/20",6.15,"0.139772727",13.0358250640852
"247",1,"Maize + Desmodium","Karama","9/16/20",6.19,"0.138424821",15.6800831005739
"248",1,"Napier + Desmodium","Karama","9/16/20",6.25,"0.146002317",14.0679141025586
"249",1,"Brachiaria + Desmodium","Karama","9/16/20",6.29,"0.134727062",17.2613284404721
"250",1,"maize monoculture","Karama","9/16/20",6.31,"0.122260669",27.8958644976379
"251",1,"Napier grass","Karama","9/16/20",6.49,"0.133701657",14.2840349340029
"252",1,"Brachiaria cv. Mulato II","Karama","9/16/20",6.47,"0.148456057",14.7782439650951
"253",1,"Desmodium distortum","Karama","9/16/20",6.48,"0.114503817",20.3834694375567
"254",1,"Maize + Desmodium","Karama","9/16/20",6.25,"0.137168142",20.5652228766014
"255",1,"Napier + Desmodium","Karama","9/16/20",6.11,"0.16374269",22.503364826355
"256",1,"Brachiaria + Desmodium","Karama","10/7/20",5.94,"0.13253012",13.0847123546074
"301",2,"maize monoculture","Rubona","10/7/20",5.16,"0.126728111",32.4767925906947
"302",2,"Napier grass","Rubona","10/7/20",5.99,"0.12529274",31.4764494039775
"303",2,"Brachiaria cv. Mulato II","Rubona","10/7/20",5.65,"0.13340935",25.3539113969933
"304",2,"Desmodium distortum","Rubona","10/7/20",5.61,"0.138547486",34.0491305330804
"305",2,"Maize + Desmodium","Rubona","10/7/20",5.39,"0.115083799",26.008430230412
"306",2,"Napier + Desmodium","Rubona","10/7/20",5.29,"0.101861993",11.5013582659483
"307",2,"Brachiaria + Desmodium","Rubona","10/7/20",5.51,"0.109026964",25.0429142177997
"308",2,"maize monoculture","Rubona","10/7/20",5.45,"0.111232279",21.5222611898824
"309",2,"Napier grass","Rubona","10/7/20",5.65,"0.135955056",17.306110924425
"310",2,"Brachiaria cv. Mulato II","Rubona","10/7/20",5.55,"0.107221007",13.8654786009952
"311",2,"Desmodium distortum","Rubona","10/7/20",5.31,"0.098913043",21.5932863138886
"312",2,"Maize + Desmodium","Rubona","10/7/20",5.44,"0.106870229",29.7677546800521
"313",2,"Napier + Desmodium","Rubona","10/7/20",5.6,"0.106796117",24.0800817598267
"314",2,"Brachiaria + Desmodium","Rubona","10/7/20",5.44,"0.104639684",30.8720803387489
"315",2,"maize monoculture","Rubona","10/7/20",5.33,"0.141538462",31.8633113860022
"316",2,"Napier grass","Rubona","10/7/20",5.34,"0.129139073",24.9732331699881
"317",2,"Brachiaria cv. Mulato II","Rubona","10/7/20",5.74,"0.127802691",22.5680558110296
"318",2,"Desmodium distortum","Rubona","10/7/20",5.34,"0.130965594",28.18783082675
"319",2,"Maize + Desmodium","Rubona","10/7/20",5.39,"0.118119266",24.7847255673059
"320",2,"Napier + Desmodium","Rubona","10/7/20",5.42,"0.126518219",31.4977618571508
"321",2,"Brachiaria + Desmodium","Rubona","10/7/20",5.54,"0.125443787",28.7638029394293
"322",2,"maize monoculture","Rubona","10/7/20",5.05,"0.137970353",20.5749421969337
"323",2,"Napier grass","Rubona","10/7/20",5.29,"0.10882016",17.8642205103667
"324",2,"Brachiaria cv. Mulato II","Rubona","10/7/20",5.35,"0.120940649",13.0744861258345
"325",2,"Desmodium distortum","Rubona","10/7/20",5.22,"0.102857143",21.1574440659797
"326",2,"Maize + Desmodium","Rubona","10/7/20",5.21,"0.127336449",28.0282936099387
"327",2,"Napier + Desmodium","Rubona","10/7/20",5.26,"0.102396514",17.5553480691114
"328",2,"Brachiaria + Desmodium","Rubona","10/6/20",5.78,"0.125565611",23.0819872287299
"329",2,"maize monoculture","Karama","10/6/20",5.88,"0.053459119",19.0005490691405
"330",2,"Napier grass","Karama","10/6/20",5.99,"0.136200717",15.0649581489919
"331",2,"Brachiaria cv. Mulato II","Karama","10/6/20",6.06,"0.13",18.9875175723116
"332",2,"Desmodium distortum","Karama","10/6/20",6.13,"0.116359447",26.9321591352532
"333",2,"Maize + Desmodium","Karama","10/6/20",6.16,"0.106359649",19.27597237684
"334",2,"Napier + Desmodium","Karama","10/6/20",6.34,"0.12195122",11.7703410873046
"335",2,"Brachiaria + Desmodium","Karama","10/6/20",6.09,"0.126245847",6.34957994897558
"336",2,"maize monoculture","Karama","10/6/20",5.85,"0.099552573",28.1891077496989
"337",2,"Napier grass","Karama","10/6/20",6.77,"0.073198198",10.1068308500267
"338",2,"Brachiaria cv. Mulato II","Karama","10/6/20",6.45,"0.076147816",11.7634103900855
"339",2,"Desmodium distortum","Karama","10/6/20",6.21,"0.122988506",10.9715823609094
"340",2,"Maize + Desmodium","Karama","10/6/20",5.96,"0.137472284",27.3868395556795
"341",2,"Napier + Desmodium","Karama","10/6/20",6.25,"0.104072398",10.6113566141465
"342",2,"Brachiaria + Desmodium","Karama","10/6/20",5.93,"0.122401848",12.6973671992817
"343",2,"maize monoculture","Karama","10/6/20",6.22,"0.10426009",19.7808251999146
"344",2,"Napier grass","Karama","10/6/20",6.15,"0.1375",12.0071541736543
"346",2,"Desmodium distortum","Karama","10/6/20",5.85,"0.092841163",17.6815234458551
"347",2,"Maize + Desmodium","Karama","10/6/20",6.19,"0.104426788",22.1094626463108
"348",2,"Napier + Desmodium","Karama","10/6/20",6.25,"0.132571429",11.852186901821
"345",2,"Brachiaria cv. Mulato II","Karama","10/6/20",6.15,"0.105145414",12.7998688525577
"349",2,"Brachiaria + Desmodium","Karama","10/6/20",6.29,"0.12412993",11.2427732638841
"351",2,"Napier grass","Karama","10/6/20",6.49,"0.145475372",11.5001341415725
"352",2,"Brachiaria cv. Mulato II","Karama","10/6/20",6.47,"0.161874334",12.970861016429
"353",2,"Desmodium distortum","Karama","10/6/20",6.48,"0.115594329",15.2441246008806
"355",2,"Napier + Desmodium","Karama","10/6/20",6.11,"0.122613065",16.6702931274775
"356",2,"Brachiaria + Desmodium","Karama","10/6/20",5.94,"0.141542002",11.6226072994636
"350",2,"maize monoculture","Karama","10/6/20",6.31,"0.130242826",22.6296797403346
"354",2,"Maize + Desmodium","Karama","10/6/20",6.25,"0.136094675",23.248230482792
"401",3,"maize monoculture","Rubona","11/19/20",5.16,"0.152255639",10.9338122499757
"402",3,"Napier grass","Rubona","11/19/20",5.99,"0.14474929",11.5573104646097
"403",3,"Brachiaria cv. Mulato II","Rubona","11/19/20",5.65,"0.169847328",13.6479259626745
"404",3,"Desmodium distortum","Rubona","11/19/20",5.61,"0.163669065",12.0852998823349
"405",3,"Maize + Desmodium","Rubona","11/19/20",5.39,"0.147030185",10.0957254094218
"406",3,"Napier + Desmodium","Rubona","11/19/20",5.29,"0.155698234",10.130243967186
"407",3,"Brachiaria + Desmodium","Rubona","11/19/20",5.51,"0.146502836",13.1387903149927
"408",3,"maize monoculture","Rubona","11/19/20",5.45,"0.171317829",6.21464981526983
"409",3,"Napier grass","Rubona","11/19/20",5.65,"0.158526135",10.6046969230696
"410",3,"Brachiaria cv. Mulato II","Rubona","11/19/20",5.55,"0.141804788",12.0515674637115
"411",3,"Desmodium distortum","Rubona","11/19/20",5.31,"0.166534496",8.01354072790525
"412",3,"Maize + Desmodium","Rubona","11/19/20",5.44,"0.152129817",12.3701596510431
"413",3,"Napier + Desmodium","Rubona","11/19/20",5.6,"0.149812734",12.0135788169757
"414",3,"Brachiaria + Desmodium","Rubona","11/19/20",5.44,"0.138554217",17.2086671450642
"415",3,"maize monoculture","Rubona","11/19/20",5.33,"0.158715596",18.1115611612612
"416",3,"Napier grass","Rubona","11/19/20",5.34,"0.164867517",13.6375007528655
"417",3,"Brachiaria cv. Mulato II","Rubona","11/19/20",5.74,"0.173794359",16.9072534052163
"418",3,"Desmodium distortum","Rubona","11/19/20",5.34,"0.174336283",13.5443503922645
"419",3,"Maize + Desmodium","Rubona","11/19/20",5.39,"0.153620352",19.2299088733766
"420",3,"Napier + Desmodium","Rubona","11/19/20",5.42,"0.143595041",13.1855347414809
"421",3,"Brachiaria + Desmodium","Rubona","11/19/20",5.54,"0.167343623",12.4578741501118
"422",3,"maize monoculture","Rubona","11/19/20",5.05,"0.151515152",14.5494779793728
"423",3,"Napier grass","Rubona","11/19/20",5.29,"0.181360202",0.640333376351581
"424",3,"Brachiaria cv. Mulato II","Rubona","11/19/20",5.35,"0.147492625",11.4965155402581
"425",3,"Desmodium distortum","Rubona","11/19/20",5.22,"0.137347131",8.53501423152288
"426",3,"Maize + Desmodium","Rubona","11/19/20",5.21,"0.178640777",11.68772242974
"427",3,"Napier + Desmodium","Rubona","11/19/20",5.26,"0.174707602",2.57278916551034
"428",3,"Brachiaria + Desmodium","Rubona","11/18/20",5.78,"0.141776938",11.8496412385977
"429",3,"maize monoculture","Karama","11/18/20",5.88,"0.123417722",12.655895841159
"430",3,"Napier grass","Karama","11/18/20",5.99,"0.1278826",12.9702133168286
"431",3,"Brachiaria cv. Mulato II","Karama","11/18/20",6.06,"0.13003096",12.7344562791287
"432",3,"Desmodium distortum","Karama","11/18/20",6.13,"0.127310062",12.6667869670416
"433",3,"Maize + Desmodium","Karama","11/18/20",6.16,"0.146365422",10.8387383168725
"434",3,"Napier + Desmodium","Karama","11/18/20",6.34,"0.120640905",11.843342878179
"435",3,"Brachiaria + Desmodium","Karama","11/18/20",6.09,"0.154049296",7.42142728330186
"436",3,"maize monoculture","Karama","11/18/20",5.85,"0.126368159",10.5593882787492
"437",3,"Napier grass","Karama","11/18/20",6.77,"0.137512639",8.89860772515611
"438",3,"Brachiaria cv. Mulato II","Karama","11/18/20",6.45,"0.148330059",12.1970032756216
"439",3,"Desmodium distortum","Karama","11/18/20",6.21,"0.118268215",16.7970352117593
"440",3,"Maize + Desmodium","Karama","11/18/20",5.96,"0.152977413",11.8337778976728
"441",3,"Napier + Desmodium","Karama","11/18/20",6.25,"0.128286015",10.803014360712
"442",3,"Brachiaria + Desmodium","Karama","11/18/20",5.93,"0.142339075",10.394157119935
"443",3,"maize monoculture","Karama","11/18/20",6.22,"0.134312697",9.72410552298869
"444",3,"Napier grass","Karama","11/18/20",6.15,"0.131113424",12.2322495049068
"445",3,"Brachiaria cv. Mulato II","Karama","11/18/20",6.15,"0.103122044",13.780363796626
"446",3,"Desmodium distortum","Karama","11/18/20",5.85,"0.136495644",10.6352916614192
"447",3,"Maize + Desmodium","Karama","11/18/20",6.19,"0.1400818",11.647619658623
"448",3,"Napier + Desmodium","Karama","11/18/20",6.25,"0.151898734",12.4456199600031
"449",3,"Brachiaria + Desmodium","Karama","11/18/20",6.29,"0.139583333",9.9531213652869
"450",3,"maize monoculture","Karama","11/18/20",6.31,"0.135080645",7.93036390568291
"451",3,"Napier grass","Karama","11/18/20",6.49,"0.139626352",11.8735818303554
"452",3,"Brachiaria cv. Mulato II","Karama","11/18/20",6.47,"0.156429942",12.6551533801785
"453",3,"Desmodium distortum","Karama","11/18/20",6.48,"0.125649013",9.02144281415454
"454",3,"Maize + Desmodium","Karama","11/18/20",6.25,"0.142714571",9.47067576157283
"455",3,"Napier + Desmodium","Karama","11/18/20",6.11,"0.152941176",14.4554970101999
