"sample","gwc","timepoint","date","location","treatment","block","truesoil","NPOC","TN"
201,0.09470124,1,"9/17/20","Rubona","maize monoculture",1,9.043934611,35.5569984368279,42.9341270411808
208,0.082539683,1,"9/17/20","Rubona","maize monoculture",2,9.156253968,23.3779169936091,78.236137451625
202,0.08649789,1,"9/17/20","Rubona","Napier grass",1,9.171561181,23.8996556325223,48.4238530596489
209,0.065843621,1,"9/17/20","Rubona","Napier grass",2,9.378930041,16.4105167350084,46.032491329541
203,0.064444444,1,"9/17/20","Rubona","Brachiaria cv. Mulato II",1,9.308777778,19.7593503138904,42.2812701818576
210,0.066027689,1,"9/17/20","Rubona","Brachiaria cv. Mulato II",2,9.386421725,21.0273432054763,46.6236197974728
204,0.062358277,1,"9/17/20","Rubona","Desmodium distortum",1,9.376417234,16.3737767761049,41.6074190741105
211,0.107608696,1,"9/17/20","Rubona","Desmodium distortum",2,8.94176087,12.6618274046259,49.3447041910934
205,0.079915878,1,"9/17/20","Rubona","Maize + Desmodium",1,9.237644585,13.8151512261872,81.7681895261224
212,0.049009385,1,"9/17/20","Rubona","Maize + Desmodium",2,9.538435871,33.4136932513351,108.606573156062
206,0.067907996,1,"9/17/20","Rubona","Napier + Desmodium",1,9.348882804,-0.0609733276478386,29.6430832992017
213,0.063526835,1,"9/17/20","Rubona","Napier + Desmodium",2,9.411555312,21.606445676805,51.5686428653138
207,0.016632017,1,"9/17/20","Rubona","Brachiaria + Desmodium",1,9.823846154,12.4836205096948,38.3832552782255
214,0.067836257,1,"9/17/20","Rubona","Brachiaria + Desmodium",2,9.330959064,15.5854423112567,42.6194771494575
241,0.14893617,1,"9/16/20","Karama","Napier + Desmodium",2,8.536170213,-4.35579704404818,35.0740132260539
235,0.114842904,1,"9/16/20","Karama","Brachiaria + Desmodium",1,8.860422535,-0.593992873711096,30.4647477049961
242,0.133182844,1,"9/16/20","Karama","Brachiaria + Desmodium",2,8.694176072,-11.1755457906331,46.7557950479793
236,0.123348018,1,"9/16/20","Karama","maize monoculture",2,8.757753304,4.31727954500801,42.6890076988511
243,0.116438356,1,"9/16/20","Karama","maize monoculture",3,8.862123288,-7.0501161530851,43.0782513254886
237,0.142517815,1,"9/16/20","Karama","Napier grass",2,8.574821853,-0.692498086222136,28.1129173967242
244,0.15235792,1,"9/16/20","Karama","Napier grass",3,8.50185006,2.45096545637242,43.0773467126742
238,0.136522754,1,"9/16/20","Karama","Brachiaria cv. Mulato II",2,8.62613769,-8.49503210375783,33.6649829976627
245,0.139772727,1,"9/16/20","Karama","Brachiaria cv. Mulato II",3,8.585068182,-4.00899062511299,33.690379641942
239,0.122706422,1,"9/16/20","Karama","Desmodium distortum",2,8.755389908,-13.2120893515769,33.0067739801792
226,0.061728395,1,"9/17/20","Rubona","Maize + Desmodium",4,9.392098765,18.0884553192723,68.4673874465757
240,0.132094943,1,"9/16/20","Karama","Maize + Desmodium",2,8.644334365,-11.1618938892611,66.5231668107472
227,0.061336254,1,"9/17/20","Rubona","Napier + Desmodium",4,9.396024096,8.33446797728701,33.2990370331057
221,0.056768559,1,"9/17/20","Rubona","Brachiaria + Desmodium",3,9.460611354,28.3066891883362,47.365872277162
215,0.065005417,1,"9/17/20","Rubona","maize monoculture",3,9.396695558,15.0864449844721,46.3961316725306
222,0.081984898,1,"9/17/20","Rubona","maize monoculture",4,9.189331176,1.78138667283075,94.4909891758645
216,0.072247706,1,"9/17/20","Rubona","Napier grass",3,9.305355505,7.62463409827854,33.016701264232
223,0.064230343,1,"9/17/20","Rubona","Napier grass",4,9.385769657,17.5115979428438,38.6595142552658
217,0.057173679,1,"9/17/20","Rubona","Brachiaria cv. Mulato II",3,9.381121899,12.4525765797129,34.5406680010869
224,0.070981211,1,"9/17/20","Rubona","Brachiaria cv. Mulato II",4,9.299478079,5.73873821389624,41.8188381601492
218,0.050646552,1,"9/17/20","Rubona","Desmodium distortum",3,9.503028017,9.7695030549283,41.4987022206205
225,0.055201699,1,"9/17/20","Rubona","Desmodium distortum",4,9.447983015,13.0584987952296,40.2576053329495
219,0.042769857,1,"9/17/20","Rubona","Maize + Desmodium",3,9.53401222,21.8885947691557,48.9815081663738
228,0.057411273,1,"9/17/20","Rubona","Brachiaria + Desmodium",4,9.454164927,4.55005447244356,33.4078073312123
220,0.058091286,1,"9/17/20","Rubona","Napier + Desmodium",3,9.40966805,5.70911234883032,37.8900053778946
229,0.098698482,1,"9/16/20","Karama","maize monoculture",1,9.0220282,-9.95711535753393,38.3210519205857
234,0.123699422,1,"9/16/20","Karama","Napier + Desmodium",1,8.719190751,-11.7849451392691,30.7356027409635
230,0.137323944,1,"9/16/20","Karama","Napier grass",1,8.618133803,-11.1697193962767,32.2261929648295
231,0.135573581,1,"9/16/20","Karama","Brachiaria cv. Mulato II",1,8.626975666,-11.3222138842512,31.4404816058527
232,0.114903299,1,"9/16/20","Karama","Desmodium distortum",1,8.886370876,-13.2271470582148,30.546554263707
233,0.055859803,1,"9/16/20","Karama","Maize + Desmodium",1,9.413077766,-12.8353345609228,28.1287580113165
308,0.111232279,2,"10/7/20","Rubona","maize monoculture",2,8.932115594,22.0199431079382,70.3920467088921
309,0.135955056,2,"10/7/20","Rubona","Napier grass",2,8.683651685,13.6040516429702,44.1595710359895
310,0.107221007,2,"10/7/20","Rubona","Brachiaria cv. Mulato II",2,8.927789934,11.7005047012717,39.5889775738583
311,0.098913043,2,"10/7/20","Rubona","Desmodium distortum",2,9.010869565,12.4356332459939,44.0375676780832
312,0.106870229,2,"10/7/20","Rubona","Maize + Desmodium",2,8.886641221,19.2457603273174,83.1895438429394
325,0.102857143,2,"10/7/20","Rubona","Desmodium distortum",4,8.944514286,4.51009809427586,50.7677265723032
313,0.106796117,2,"10/7/20","Rubona","Napier + Desmodium",2,8.923106796,7.85645780289048,49.7232382809182
326,0.127336449,2,"10/7/20","Rubona","Maize + Desmodium",4,8.726635514,11.5151934585361,83.4526704497538
307,0.109026964,2,"10/7/20","Rubona","Brachiaria + Desmodium",1,8.918640094,10.8762702765379,47.780645566673
327,0.102396514,2,"10/7/20","Rubona","Napier + Desmodium",4,9.011938998,3.90930872678735,41.5120353678118
314,0.104639684,2,"10/7/20","Rubona","Brachiaria + Desmodium",2,8.944649556,8.05756820073795,61.567333452072
328,0.125565611,2,"10/6/20","Rubona","Brachiaria + Desmodium",4,8.726855204,6.05485848498226,47.4510328549761
315,0.141538462,2,"10/7/20","Rubona","maize monoculture",3,8.576030769,14.9866367031872,103.341916751236
329,0.053459119,2,"10/6/20","Karama","maize monoculture",1,9.42754717,10.6114588211336,54.5843938444217
316,0.129139073,2,"10/7/20","Rubona","Napier grass",3,8.734735099,5.50783724070332,52.2761606687468
330,0.136200717,2,"10/6/20","Karama","Napier grass",1,8.689820789,1.10197227808153,39.702799855104
317,0.127802691,2,"10/7/20","Rubona","Brachiaria cv. Mulato II",3,8.76558296,4.724273744942,46.9380759173848
331,0.13,2,"10/6/20","Karama","Brachiaria cv. Mulato II",1,8.7174,0.765774921835719,36.4772161809676
318,0.130965594,2,"10/7/20","Rubona","Desmodium distortum",3,8.70772475,6.44485916239711,54.3422407948279
332,0.116359447,2,"10/6/20","Karama","Desmodium distortum",1,8.801059908,3.26934075944314,45.0528608649463
319,0.118119266,2,"10/7/20","Rubona","Maize + Desmodium",3,8.801169725,11.7079879082231,71.6982854413958
333,0.106359649,2,"10/6/20","Karama","Maize + Desmodium",1,8.918530702,4.34514802570172,43.712043320515
320,0.126518219,2,"10/7/20","Rubona","Napier + Desmodium",3,8.769757085,3.62748386214435,58.1198941426518
249,0.134727062,1,"9/16/20","Karama","Brachiaria + Desmodium",3,8.670034843,-0.813079084204133,43.4219902689215
321,0.125443787,2,"10/7/20","Rubona","Brachiaria + Desmodium",3,8.754307692,9.64476576943866,54.5129683732941
250,0.122260669,1,"9/16/20","Karama","maize monoculture",4,8.821280277,0.0267583103927871,50.1413430509801
322,0.137970353,2,"10/7/20","Rubona","maize monoculture",4,8.654777651,9.77961771414974,68.1868302828996
251,0.133701657,1,"9/16/20","Karama","Napier grass",4,8.680309392,4.54991777988122,39.1591016989973
323,0.10882016,2,"10/7/20","Rubona","Napier grass",4,8.885063001,10.0740877066091,43.207698012797
252,0.148456057,1,"9/16/20","Karama","Brachiaria cv. Mulato II",4,8.472862233,-1.06835964452346,41.4402603447726
324,0.120940649,2,"10/7/20","Rubona","Brachiaria cv. Mulato II",4,8.781802912,1.85319889354926,42.6107130329325
253,0.114503817,1,"9/16/20","Karama","Desmodium distortum",4,8.819541985,2.05472011078103,47.3283154223441
247,0.138424821,1,"9/16/20","Karama","Maize + Desmodium",3,8.598520286,3.75795035067485,41.1615283794962
254,0.137168142,1,"9/16/20","Karama","Maize + Desmodium",4,8.611061947,4.08929674971043,45.5343948200524
248,0.146002317,1,"9/16/20","Karama","Napier + Desmodium",3,8.531436848,7.33283085852441,42.2175274139746
255,0.16374269,1,"9/16/20","Karama","Napier + Desmodium",4,8.396023392,1.84581920193419,46.3522923077533
306,0.101861993,2,"10/7/20","Rubona","Napier + Desmodium",1,8.972398686,14.4669678978081,36.1495706975425
256,0.13253012,1,"9/16/20","Karama","Brachiaria + Desmodium",4,8.631325301,8.85210787300876,38.6442672866608
301,0.126728111,2,"10/7/20","Rubona","maize monoculture",1,8.758917051,16.5619678269774,94.6796763205563
302,0.12529274,2,"10/7/20","Rubona","Napier grass",1,8.738325527,17.7547928306496,54.1475929600714
303,0.13340935,2,"10/7/20","Rubona","Brachiaria cv. Mulato II",1,8.665906499,17.8354311484356,45.7094850215081
304,0.138547486,2,"10/7/20","Rubona","Desmodium distortum",1,8.597296089,14.4917230451496,58.7379637373249
305,0.115083799,2,"10/7/20","Rubona","Maize + Desmodium",1,8.884558659,18.6595502648924,75.4926965631529
334,0.12195122,2,"10/6/20","Karama","Napier + Desmodium",1,8.754146341,-3.33071048908937,43.1304180358164
341,0.104072398,2,"10/6/20","Karama","Napier + Desmodium",2,8.968235294,-2.96426088781307,41.5693859009978
335,0.126245847,2,"10/6/20","Karama","Brachiaria + Desmodium",1,8.763754153,-3.91432738694699,40.7014670404014
342,0.122401848,2,"10/6/20","Karama","Brachiaria + Desmodium",2,8.793533487,-6.4407669545341,41.4274189127634
336,0.099552573,2,"10/6/20","Karama","maize monoculture",2,8.968456376,-0.822444720059362,55.8358606655885
407,0.146502836,3,"11/19/20","Rubona","Brachiaria + Desmodium",1,8.500831758,0.148574102001698,43.7760407199308
337,0.073198198,2,"10/6/20","Karama","Napier grass",2,9.30509009,0.540683148635523,38.219277576202
408,0.171317829,3,"11/19/20","Rubona","maize monoculture",2,8.311682171,11.9943444749222,39.1482818575193
338,0.076147816,2,"10/6/20","Karama","Brachiaria cv. Mulato II",2,9.266237402,2.85886325437372,39.8972781259323
409,0.158526135,3,"11/19/20","Rubona","Napier grass",2,8.381079692,2.94148343675092,42.3325328833509
339,0.122988506,2,"10/6/20","Karama","Desmodium distortum",2,8.778885057,-3.20616714684325,40.5779963388496
410,0.141804788,3,"11/19/20","Rubona","Brachiaria cv. Mulato II",2,8.581952118,-0.741685029312632,42.6804634103532
340,0.137472284,2,"10/6/20","Karama","Maize + Desmodium",2,8.608026608,-5.5065646283863,62.3979463799776
411,0.166534496,3,"11/19/20","Rubona","Desmodium distortum",2,8.351324346,-1.81312869767719,39.7420457986722
418,0.174336283,3,"11/19/20","Rubona","Desmodium distortum",3,8.264893805,6.94152424506307,45.2702772249636
412,0.152129817,3,"11/19/20","Rubona","Maize + Desmodium",2,8.45326572,0.0352528516465695,45.0442548094691
419,0.153620352,3,"11/19/20","Rubona","Maize + Desmodium",3,8.438405088,10.1315197808049,51.5203730958981
413,0.149812734,3,"11/19/20","Rubona","Napier + Desmodium",2,8.467865169,-0.241569019847985,44.4891946616611
343,0.10426009,2,"10/6/20","Karama","maize monoculture",3,8.957399103,-3.02427812983111,69.9808705373841
414,0.138554217,3,"11/19/20","Rubona","Brachiaria + Desmodium",2,8.614457831,4.73948272338068,48.8151134017541
344,0.1375,2,"10/6/20","Karama","Napier grass",3,8.633625,4.00510088143571,42.3770853580585
415,0.158715596,3,"11/19/20","Rubona","maize monoculture",3,8.454908257,5.44307530939203,48.8957822332253
345,0.105145414,2,"10/6/20","Karama","Brachiaria cv. Mulato II",3,8.957494407,-6.46138459786267,42.0681602757688
416,0.164867517,3,"11/19/20","Rubona","Napier grass",3,8.351324828,-2.57796441061642,44.3049582236919
346,0.092841163,2,"10/6/20","Karama","Desmodium distortum",3,9.10787472,-3.45362130644888,46.1741874550398
417,0.173794359,3,"11/19/20","Rubona","Brachiaria cv. Mulato II",3,8.295104641,7.44805519028243,49.7223270806066
347,0.104426788,2,"10/6/20","Karama","Maize + Desmodium",3,8.964687855,-3.6574359471181,50.8965985512963
354,0.136094675,2,"10/6/20","Karama","Maize + Desmodium",4,8.682248521,-3.20480409511203,55.6743452693365
348,0.132571429,2,"10/6/20","Karama","Napier + Desmodium",3,8.708982857,-0.767801792560562,44.3948308740225
355,0.122613065,2,"10/6/20","Karama","Napier + Desmodium",4,8.791417085,1.28314244028714,46.1324934663866
349,0.12412993,2,"10/6/20","Karama","Brachiaria + Desmodium",3,8.714907193,-8.68711167569809,39.5062606938494
356,0.141542002,2,"10/6/20","Karama","Brachiaria + Desmodium",4,8.593164557,-4.23267394519404,41.9898057333314
350,0.130242826,2,"10/6/20","Karama","maize monoculture",4,8.688874172,-2.55714430808786,74.1858214389835
401,0.152255639,3,"11/19/20","Rubona","maize monoculture",1,8.511353383,-0.380707718323056,40.974656176849
351,0.145475372,2,"10/6/20","Karama","Napier grass",4,8.579427262,-5.31603187383215,41.4395305403725
402,0.14474929,3,"11/19/20","Rubona","Napier grass",1,8.56961211,-9.54757911485659,38.7570350825936
352,0.161874334,2,"10/6/20","Karama","Brachiaria cv. Mulato II",4,8.423162939,-2.68145410458575,45.9543086528336
403,0.169847328,3,"11/19/20","Rubona","Brachiaria cv. Mulato II",1,8.260019084,-7.73020448663715,45.2918421605604
353,0.115594329,2,"10/6/20","Karama","Desmodium distortum",4,8.879432933,-5.79884148375405,44.5993345220169
404,0.163669065,3,"11/19/20","Rubona","Desmodium distortum",1,8.39676259,-3.70779602435726,42.5093914474706
405,0.147030185,3,"11/19/20","Rubona","Maize + Desmodium",1,8.504109056,-0.840334623135531,42.5807663343946
406,0.155698234,3,"11/19/20","Rubona","Napier + Desmodium",1,8.476789727,-2.89217133734011,42.6753275849053
439,0.118268215,3,"11/18/20","Karama","Desmodium distortum",2,8.808500528,-8.43713563118196,28.2768137318218
440,0.152977413,3,"11/18/20","Karama","Maize + Desmodium",2,8.461755647,-10.9168885425868,26.755959864486
454,0.142714571,3,"11/18/20","Karama","Maize + Desmodium",4,8.598572854,-13.3682597377734,23.942462961742
441,0.128286015,3,"11/18/20","Karama","Napier + Desmodium",2,8.673554154,-6.03572716617807,27.0615182982761
455,0.152941176,3,"11/18/20","Karama","Napier + Desmodium",4,8.479058824,-3.01771321975658,28.6969931156961
442,0.142339075,3,"11/18/20","Karama","Brachiaria + Desmodium",2,8.585185857,-12.8491862335831,24.5182258090343
456,0.134445535,3,"11/18/20","Karama","Brachiaria + Desmodium",4,8.638233562,-12.1636840479444,25.0648801836251
443,0.134312697,3,"11/18/20","Karama","maize monoculture",3,8.700157398,-10.3397697321287,23.6842367337542
501,0.148330059,4,"12/8/20","Rubona","maize monoculture",1,8.499666012,-6.45630534348681,22.3163179810276
444,0.131113424,3,"11/18/20","Karama","Napier grass",3,8.680176899,-3.30999161954731,27.3421236294778
502,0.179254783,4,"12/8/20","Rubona","Napier grass",1,8.215659617,-9.00989826352202,22.3197766161869
445,0.103122044,3,"11/18/20","Karama","Brachiaria cv. Mulato II",3,8.941873226,-0.670796004795418,27.332438928149
503,0.155599604,4,"12/8/20","Rubona","Brachiaria cv. Mulato II",1,8.444003964,-9.46317381841427,22.4554332657421
446,0.136495644,3,"11/18/20","Karama","Desmodium distortum",3,8.65231365,-7.82078224998564,23.6748135440105
504,0.145098039,4,"12/8/20","Rubona","Desmodium distortum",1,8.514823529,-10.3454164422317,22.9621244892804
447,0.1400818,3,"11/18/20","Karama","Maize + Desmodium",3,8.556186094,-9.41141164779772,24.7058279156942
420,0.143595041,3,"11/19/20","Rubona","Napier + Desmodium",3,8.572613636,2.83138544262207,28.6790092443074
448,0.151898734,3,"11/18/20","Karama","Napier + Desmodium",3,8.438607595,1.18069164905177,27.3531455762345
421,0.167343623,3,"11/19/20","Rubona","Brachiaria + Desmodium",3,8.318237206,-2.32014039166353,29.1037561409542
449,0.139583333,3,"11/18/20","Karama","Brachiaria + Desmodium",3,8.586958333,-14.8884140070214,24.3029458485386
422,0.151515152,3,"11/19/20","Rubona","maize monoculture",4,8.459393939,-2.7721959550819,29.7269449349373
450,0.135080645,3,"11/18/20","Karama","maize monoculture",4,8.666491935,-11.6031217858406,22.8710546984714
423,0.181360202,3,"11/19/20","Rubona","Napier grass",4,8.145465995,-5.02169213032145,22.9442630519099
451,0.139626352,3,"11/18/20","Karama","Napier grass",4,8.629547689,-11.0082243901373,24.3941401713967
424,0.147492625,3,"11/19/20","Rubona","Brachiaria cv. Mulato II",4,8.499498525,-13.0071784253822,25.716162897396
452,0.156429942,3,"11/18/20","Karama","Brachiaria cv. Mulato II",4,8.418829175,-12.7200696012982,28.8441829066705
425,0.137347131,3,"11/19/20","Rubona","Desmodium distortum",4,8.669661336,-5.42474296220168,24.2851627941317
453,0.125649013,3,"11/18/20","Karama","Desmodium distortum",4,8.699792316,-15.0474306608573,23.7860681301987
426,0.178640777,3,"11/19/20","Rubona","Maize + Desmodium",4,8.221805825,-11.0982246010689,28.856205378016
433,0.146365422,3,"11/18/20","Karama","Maize + Desmodium",1,8.561954813,-0.582869017756229,26.8881499039978
427,0.174707602,3,"11/19/20","Rubona","Napier + Desmodium",4,8.277682749,-10.6824532120679,21.7054883090058
434,0.120640905,3,"11/18/20","Karama","Napier + Desmodium",1,8.77600377,-9.71763641151381,25.9728248464359
428,0.141776938,3,"11/18/20","Rubona","Brachiaria + Desmodium",4,8.582230624,-5.10897858199992,26.4511339701064
435,0.154049296,3,"11/18/20","Karama","Brachiaria + Desmodium",1,8.451047535,-9.19463535642087,24.2146864870121
429,0.123417722,3,"11/18/20","Karama","maize monoculture",1,8.774588608,-8.99800783252819,26.5268924143701
436,0.126368159,3,"11/18/20","Karama","maize monoculture",2,8.745054726,-4.44693308577581,26.0493103832119
